Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
55	8	0	1.375	191.364069	191.738398	189.868785	193.577204	3.70841854	1.20977314	0	32.6	0	0	3
56	8	0	1.4	189.863852	191.561572	189.863852	193.510314	3.64646246	1.21548661	0	33.3	0	0	3
57	8	0	1.425	191.32213	191.514524	189.863852	193.510314	3.58462059	1.2205279	0	34	0	0	3
58	8	0	1.45	189.829752	191.355931	189.829752	193.510314	3.45035913	1.22146393	0	35.4	0	0	3
59	8	0	1.475	191.258867	191.338924	189.829752	193.510314	3.23893496	1.22230142	0	37.7	0	0	3
60	8	0	1.5	189.765521	191.160601	189.765521	192.779008	3.01348674	1.21928705	0	40.4	0	0	3
61	8	0	1.525	191.189121	191.157484	189.765521	192.779008	2.90140868	1.21655976	0	41.9	0	0	3
62	8	0	1.55	188.891578	190.972369	188.891578	192.708224	2.85404109	1.21581512	0	42.5	0	0	3
63	9	0	1.575	190.379257	190.915702	188.891578	192.708224	2.68181052	1.21513524	0	45.3	0	0	3
64	9	0	1.6	189.175835	190.766227	188.891578	192.708224	2.7003428	1.21057594	0	44.8	0	0	3
65	9	0	1.625	189.69667	190.711415	188.891578	192.708224	2.61921852	1.20638138	0	46	0	0	3
66	9	0	1.65	188.716644	190.52134	188.716644	192.347038	2.53724228	1.19971285	0	47.2	0	0	3
67	9	0	1.675	190.312213	190.510021	188.716644	192.347038	2.41729287	1.19353828	0	49.3	0	0	3
68	9	0	1.7	188.022821	190.31739	188.022821	192.347038	2.36938944	1.18862446	0	50.1	0	0	3
69	9	0	1.725	189.846651	190.283798	188.022821	192.347038	2.31427655	1.18404951	0	51.1	0	0	3
70	9	0	1.75	188.762704	190.113115	188.022821	191.955167	2.25476512	1.17729707	0	52.2	0	0	3
71	10	0	1.775	190.152769	190.109513	188.022821	191.955167	2.16154439	1.17098028	0	54.1	0	0	3
72	10	0	1.8	187.959366	189.930633	187.959366	191.955167	2.13297292	1.16279059	0	54.5	0	0	3
73	10	0	1.825	189.774053	189.909896	187.959366	191.955167	2.09259454	1.15509724	0	55.1	0	0	3
74	10	0	1.85	188.707107	189.755227	187.959366	191.364069	2.04964591	1.1512262	0	56.1	0	0	3
75	10	0	1.875	190.067647	189.764697	187.959366	191.364069	1.98317146	1.1512262	0	58	0	0	3
76	10	0	1.9	187.99638	189.60433	187.959366	191.32213	1.95724173	1.1512262	0	58.8	0	0	3
77	10	0	1.925	189.696056	189.59634	187.959366	191.32213	1.918184	1.1512262	0	60	0	0	3
78	10	0	1.95	188.594788	189.466467	187.959366	191.258867	1.88946412	1.1512262	0	60.9	0	0	3
79	11	0	1.975	189.482145	189.449914	187.959366	191.258867	1.88901033	1.1512262	0	60.9	0	0	3
80	11	0	2	188.15358	189.302043	187.959366	191.189121	1.85855762	1.1512262	0	61.9	0	0	3
81	11	0	2.025	189.831637	189.305192	187.959366	191.189121	1.85544114	1.1512262	0	62	0	0	3
82	11	0	2.05	187.897862	189.148465	187.897862	190.379257	1.82390371	1.1512262	0	63.1	0	0	3
83	11	0	2.075	189.545909	189.179624	187.897862	190.379257	1.76723681	1.1512262	0	65.1	0	0	3
84	11	0	2.1	188.489553	189.089638	187.897862	190.312213	1.6765889	1.1512262	0	68.6	0	0	3
85	11	0	2.125	189.453518	189.102861	187.897862	190.312213	1.62177742	1.1512262	0	70.9	0	0	3
86	12	0	2.15	188.101046	189.026879	187.897862	190.312213	1.49446127	1.1512262	0	77	0	0	3
87	12	0	2.175	187.909674	188.988451	187.897862	190.312213	1.52156952	1.1512262	0	75.6	0	0	3
88	12	0	2.2	188.690513	188.911228	187.897862	190.152769	1.40616214	1.1512262	0	81.8	0	0	3
89	12	0	2.225	187.846929	188.902852	187.846929	190.152769	1.38094608	1.1512262	0	83.3	0	0	3
90	12	0	2.25	189.590375	188.890648	187.846929	190.152769	1.22246712	1.1512262	0	94.1	0	0	3
91	12	0	2.275	188.467	188.876567	187.846929	190.152769	1.23294579	1.1512262	0	93.3	0	0	3
92	12	0	2.3	189.577026	188.849151	187.846929	190.067647	1.08148255	1.1512262	0	100	0	0	3
