Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
62	8	0	1.55	175850.905	153894.575	121589.11	175850.905	54261.7949	14348.742	0	0	0	0	3
63	9	0	1.575	179401.338	156647.538	127128.236	179401.338	52273.1013	14517.3544	0	0	0	0	3
64	9	0	1.6	185159.682	159410.94	132438.961	185159.682	52720.721	14707.9053	0	0	0	0	3
65	9	0	1.625	190665.291	162183.622	137103.802	190665.291	53561.4884	14915.7018	0	0	0	0	3
66	9	0	1.65	195262.43	164953.081	141441.929	195262.43	53820.5011	15126.1477	0	0	0	0	3
67	9	0	1.675	202259.866	167849.173	145472.923	202259.866	56786.9429	15331.7255	0	0	0	0	3
68	9	0	1.7	206320.878	170746.695	149513.881	206320.878	56806.9973	15522.199	0	0	0	0	3
69	9	0	1.725	210298.291	173641.19	153323.011	210298.291	56975.2802	15699.6478	0	0	0	0	3
70	9	0	1.75	212135.726	176441.796	155913.217	212135.726	56222.5086	15857.803	0	0	0	0	3
71	10	0	1.775	215301.303	179269.8	157376.889	215301.303	57924.414	16005.7689	0	0	0	0	3
72	10	0	1.8	217540.687	182134.743	157970.758	217540.687	59569.9282	16132.4656	0	0	0	0	3
73	10	0	1.825	220749.024	185124.184	159301.212	220749.024	59029.9194	16251.7182	0	0	0	0	3
74	10	0	1.85	225186.433	188261.575	159771.651	225186.433	58700.2642	16370.4179	0	0	0	0	3
75	10	0	1.875	228824.017	191549.783	161594.186	228824.017	58576.1961	16484.5541	0	0	0	0	3
76	10	0	1.9	232633.602	194932.613	161892.632	232633.602	58681.0964	16596.8744	0	0	0	0	3
77	10	0	1.925	236727.948	198496.199	162981.361	236727.948	59044.6035	16701.5003	0	0	0	0	3
78	10	0	1.95	239304.374	202130.628	164182.097	239304.374	59635.8094	16793.551	0	0	0	0	3
79	11	0	1.975	241851.642	205829.178	165559.884	241851.642	60433.4846	16874.6862	0	0	0	0	3
80	11	0	2	243190.911	209525.894	169051.774	243190.911	61261.0442	16941.4444	0	0	0	0	3
81	11	0	2.025	244904.886	213137.947	172327.646	244904.886	62042.7715	16995.9508	0	0	0	0	3
82	11	0	2.05	244886.148	216593.113	175850.905	244904.886	62698.5388	17031.6987	0	0	0	0	3
83	11	0	2.075	244636.497	219868.618	179401.338	244904.886	63221.08	17046.4615	0	0	0	0	3
84	11	0	2.1	243861.401	222938.145	185159.682	244904.886	59745.2038	17042.4485	0	0	0	0	3
85	11	0	2.125	243233.921	225703.585	190665.291	244904.886	54239.5951	17023.0643	0	0	0	0	3
86	12	0	2.15	241863.571	228141.598	195262.43	244904.886	49642.4557	16990.3769	0	0	0	0	3
87	12	0	2.175	241351.012	230336.292	202259.866	244904.886	42645.0196	16946.2156	0	0	0	0	3
88	12	0	2.2	240458.302	232155.265	206320.878	244904.886	38584.0071	16891.2663	0	0	0	0	3
89	12	0	2.225	240072.416	233762.482	210298.291	244904.886	34606.5945	16826.8993	0	0	0	0	3
90	12	0	2.25	239306.837	235143.841	212135.726	244904.886	32769.1597	16757.3363	0	0	0	0	3
91	12	0	2.275	239383.406	236441.349	215301.303	244904.886	29603.5825	16686.1964	0	0	0	0	3
92	12	0	2.3	238501.929	237546.141	217540.687	244904.886	27364.1991	16616.0795	0	0	0	0	3
