Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
31	4	0	0.775	0	0	0	0	0	0	0	1000	0	0	3
32	4	0	0.8	0	0	0	0	0	0	0	1000	0	0	3
33	5	0	0.825	0	0	0	0	0	0	0	1000	0	0	3
34	5	0	0.85	0	0	0	0	0	0	0	1000	0	0	3
35	5	0	0.875	0	0	0	0	0	0	0	1000	0	0	3
36	5	0	0.9	0	0	0	0	0	0	0	1000	0	0	3
37	5	0	0.925	0	0	0	0	0	0	0	1000	0	0	3
38	5	0	0.95	0	0	0	0	0	0	0	1000	0	0	3
39	5	0	0.975	0	0	0	0	0	0	0	1000	0	0	3
40	5	0	1	0	0	0	0	0	1.00268906e-07	0	1000	0	0	3
41	6	0	1.025	0	0	0	0	0	1.0027037e-07	0	1000	0	0	3
42	6	0	1.05	0	0	0	0	0	1.00271757e-07	0	1000	0	0	3
43	6	0	1.075	0	0	0	0	0	1.00273083e-07	0	1000	0	0	3
44	6	0	1.1	0	0	0	0	0	1.00274483e-07	0	1000	0	0	3
45	6	0	1.125	0	0	0	0	0	1.0027588e-07	0	1000	0	0	3
46	6	0	1.15	0	0	0	0	0	1.00277312e-07	0	1000	0	0	3
47	6	0	1.175	0	0	0	0	0	1.0027865e-07	0	1000	0	0	3
48	6	0	1.2	0	0	0	0	0	1.00279988e-07	0	1000	0	0	3
49	7	0	1.225	0	0	0	0	0	1.00281263e-07	0	1000	0	0	3
50	7	0	1.25	0	0	0	0	0	1.0028247e-07	0	1000	0	0	3
51	7	0	1.275	0	0	0	0	0	1.00283542e-07	0	1000	0	0	3
52	7	0	1.3	0	0	0	0	0	1.00284578e-07	0	1000	0	0	3
53	7	0	1.325	0	0	0	0	0	1.0028554e-07	0	1000	0	0	3
54	7	0	1.35	0	0	0	0	0	1.00286495e-07	0	1000	0	0	3
55	8	0	1.375	0	0	0	0	0	1.00287582e-07	0	1000	0	0	3
56	8	0	1.4	0	0	0	0	0	1.0028845e-07	0	1000	0	0	3
57	8	0	1.425	0	0	0	0	0	1.00289504e-07	0	1000	0	0	3
58	8	0	1.45	0	0	0	0	0	1.00290416e-07	0	1000	0	0	3
59	8	0	1.475	0	0	0	0	0	1.00291355e-07	0	1000	0	0	3
60	8	0	1.5	0	0	0	0	0	1.00292168e-07	0	1000	0	0	3
61	8	0	1.525	0	0	0	0	0	1.00293066e-07	0	1000	0	0	3
62	8	0	1.55	0	0	0	0	0	1.00293817e-07	0	1000	0	0	3
63	9	0	1.575	0	0	0	0	0	1.00294582e-07	0	1000	0	0	3
64	9	0	1.6	0	0	0	0	0	1.00295214e-07	0	1000	0	0	3
65	9	0	1.625	0	0	0	0	0	1.00295787e-07	0	1000	0	0	3
66	9	0	1.65	0	0	0	0	0	1.00296481e-07	0	1000	0	0	3
67	9	0	1.675	0	0	0	0	0	1.00296937e-07	0	1000	0	0	3
68	9	0	1.7	0	0	0	0	0	1.00297528e-07	0	1000	0	0	3
69	9	0	1.725	0	0	0	0	0	1.00297946e-07	0	1000	0	0	3
70	9	0	1.75	0	0	0	0	0	1.00298588e-07	0	1000	0	0	3
71	10	0	1.775	0	0	0	0	0	1.0029927e-07	0	1000	0	0	3
72	10	0	1.8	0	0	0	0	0	1.00299989e-07	0	1000	0	0	3
73	10	0	1.825	0	0	0	0	0	1.00300548e-07	0	1000	0	0	3
74	10	0	1.85	0	0	0	0	0	1.00301142e-07	0	1000	0	0	3
75	10	0	1.875	0	0	0	0	0	1.00301452e-07	0	1000	0	0	3
76	10	0	1.9	0	0	0	0	0	1.00301882e-07	0	1000	0	0	3
77	10	0	1.925	0	0	0	0	0	1.00302137e-07	0	1000	0	0	3
78	10	0	1.95	0	0	0	0	0	1.00302551e-07	0	1000	0	0	3
79	11	0	1.975	0	0	0	0	0	1.00302851e-07	0	1000	0	0	3
80	11	0	2	0	0	0	0	0	1.00303273e-07	0	1000	0	0	3
81	11	0	2.025	0	0	0	0	0	1.00303432e-07	0	1000	0	0	3
82	11	0	2.05	0	0	0	0	0	1.00303875e-07	0	1000	0	0	3
83	11	0	2.075	0	0	0	0	0	1.00304072e-07	0	1000	0	0	3
84	11	0	2.1	0	0	0	0	0	1.00304407e-07	0	1000	0	0	3
85	11	0	2.125	0	0	0	0	0	1.00304623e-07	0	1000	0	0	3
86	12	0	2.15	0	0	0	0	0	1.00304995e-07	0	1000	0	0	3
87	12	0	2.175	0	0	0	0	0	1.00305115e-07	0	1000	0	0	3
88	12	0	2.2	0	0	0	0	0	1.00305585e-07	0	1000	0	0	3
89	12	0	2.225	0	0	0	0	0	1.00305732e-07	0	1000	0	0	3
90	12	0	2.25	0	0	0	0	0	1.00306101e-07	0	1000	0	0	3
91	12	0	2.275	0	0	0	0	0	1.00306287e-07	0	1000	0	0	3
92	12	0	2.3	0	0	0	0	0	1.00306664e-07	0	1000	0	0	3
