Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
59	8	0	1.475	43.6177201	42.0343203	38.3498635	43.8498813	5.50001779	3.74462317	0	68	0	0	3
60	8	0	1.5	43.4115638	42.2753536	39.0758443	43.8498813	4.77403703	3.74462317	0	78.4	0	0	3
61	8	0	1.525	43.8409281	42.4157304	39.0758443	43.8498813	4.77403703	3.74462317	0	78.4	0	0	3
62	8	0	1.55	43.5336087	42.6280049	39.668292	43.8498813	4.18158926	3.74462317	0	89.5	0	0	3
63	9	0	1.575	43.9719359	42.8056322	39.668292	43.9719359	4.30364382	3.74462317	0	87	0	0	3
64	9	0	1.6	44.0736019	43.0154089	40.8529379	44.0736019	3.22066402	3.74462317	0	100	0	0	3
65	9	0	1.625	44.5017322	43.189161	41.0512149	44.5017322	3.45051732	3.74462317	0	100	0	0	3
66	9	0	1.65	44.2841867	43.343112	41.4183511	44.5017322	3.08338115	3.74462317	0	100	0	0	3
67	9	0	1.675	44.3616365	43.4825158	41.4183511	44.5017322	3.08338115	3.74462317	0	100	0	0	3
68	9	0	1.7	44.2214575	43.6159971	42.2180464	44.5017322	2.28368577	3.74462317	0	100	0	0	3
69	9	0	1.725	44.2383157	43.7122004	42.5800734	44.5017322	1.92165876	3.74462317	0	100	0	0	3
70	9	0	1.75	43.639695	43.7626586	42.7643075	44.5017322	1.73742468	3.74462317	0	100	0	0	3
71	10	0	1.775	43.4475943	43.795196	43.3643629	44.5017322	1.13736934	3.74462317	0	100	0	0	3
72	10	0	1.8	42.9632799	43.7669212	42.9632799	44.5017322	1.53845226	3.74462317	0	100	0	0	3
73	10	0	1.825	43.1605396	43.7510766	42.9632799	44.5017322	1.53845226	3.74462317	0	100	0	0	3
74	10	0	1.85	43.1088402	43.715789	42.9632799	44.5017322	1.53845226	3.74462317	0	100	0	0	3
75	10	0	1.875	43.3024778	43.707632	42.9632799	44.5017322	1.53845226	3.74462317	0	100	0	0	3
76	10	0	1.9	43.4148047	43.6946466	42.9632799	44.5017322	1.53845226	3.74462317	0	100	0	0	3
77	10	0	1.925	43.6316207	43.7051786	42.9632799	44.5017322	1.53845226	3.74462317	0	100	0	0	3
78	10	0	1.95	43.7762898	43.7079139	42.9632799	44.5017322	1.53845226	3.74462317	0	100	0	0	3
79	11	0	1.975	43.9943691	43.7379142	42.9632799	44.5017322	1.53845226	3.74462317	0	100	0	0	3
80	11	0	2	44.0101524	43.7566015	42.9632799	44.5017322	1.51984239	3.74462317	0	100	0	0	3
81	11	0	2.025	43.8601949	43.7779648	42.9632799	44.5017322	1.37946563	3.74462317	0	100	0	0	3
82	11	0	2.05	43.8554497	43.7786563	42.9632799	44.5017322	1.16719113	3.74462317	0	100	0	0	3
83	11	0	2.075	43.8769181	43.7950044	42.9632799	44.5017322	0.989563781	3.74462317	0	100	0	0	3
84	11	0	2.1	43.7257712	43.7832823	42.9632799	44.5017322	0.779787121	3.74462317	0	100	0	0	3
85	11	0	2.125	43.7429819	43.7675385	42.9632799	44.5017322	0.606035011	3.74462317	0	100	0	0	3
86	12	0	2.15	43.4280413	43.7164103	42.9632799	44.3616365	0.452083971	3.74462317	0	100	0	0	3
87	12	0	2.175	43.5315369	43.6805699	42.9632799	44.3616365	0.312680189	3.74462317	0	100	0	0	3
88	12	0	2.2	43.3142459	43.6306941	42.9632799	44.2383157	0.179198932	3.74462317	0	100	0	0	3
89	12	0	2.225	43.4794797	43.5953619	42.9632799	44.2383157	0.199834168	3.74462317	0	100	0	0	3
90	12	0	2.25	43.3100089	43.5511568	42.9632799	44.0101524	0.244039254	3.74462317	0	100	0	0	3
91	12	0	2.275	43.4326474	43.5412974	42.9632799	44.0101524	0.253898665	3.74462317	0	100	0	0	3
92	12	0	2.3	43.2920889	43.5338923	42.9632799	44.0101524	0.261112078	3.74462317	0	100	0	0	3
